"MutationType","HepG2_Duo_250pM_2mth_cl3"
"[Del(C):R1]A",7
"[Del(C):R1]T",12
"[Del(C):R2]A",1
"[Del(C):R2]T",3
"[Del(C):R3]A",1
"[Del(C):R3]T",1
"[Del(C):R(4,5)]A",1
"[Del(C):R(4,5)]T",0
"[Del(C):R(1,5)]G",0
"Del(C):R(6,)",0
"A[Del(T):R(1,4)]A",129
"A[Del(T):R(1,4)]C",11
"A[Del(T):R(1,4)]G",9
"C[Del(T):R(1,4)]A",96
"C[Del(T):R(1,4)]C",30
"C[Del(T):R(1,4)]G",20
"G[Del(T):R(1,4)]A",63
"G[Del(T):R(1,4)]C",12
"G[Del(T):R(1,4)]G",13
"A[Del(T):R(5,7)]A",29
"A[Del(T):R(5,7)]C",14
"A[Del(T):R(5,7)]G",16
"C[Del(T):R(5,7)]A",67
"C[Del(T):R(5,7)]C",47
"C[Del(T):R(5,7)]G",38
"G[Del(T):R(5,7)]A",18
"G[Del(T):R(5,7)]C",25
"G[Del(T):R(5,7)]G",30
"A[Del(T):R(8,)]A",3
"A[Del(T):R(8,)]C",0
"A[Del(T):R(8,)]G",2
"C[Del(T):R(8,)]A",0
"C[Del(T):R(8,)]C",6
"C[Del(T):R(8,)]G",2
"G[Del(T):R(8,)]A",1
"G[Del(T):R(8,)]C",2
"G[Del(T):R(8,)]G",1
"A[Ins(C):R0]A",17
"A[Ins(C):R0]T",12
"Ins(C):R(0,3)",52
"Ins(C):R(4,6)",0
"Ins(C):R(7,)",0
"A[Ins(T):R(0,4)]A",831
"A[Ins(T):R(0,4)]C",140
"A[Ins(T):R(0,4)]G",34
"C[Ins(T):R(0,4)]A",29
"C[Ins(T):R(0,4)]C",8
"C[Ins(T):R(0,4)]G",6
"G[Ins(T):R(0,4)]A",241
"G[Ins(T):R(0,4)]C",19
"G[Ins(T):R(0,4)]G",4
"A[Ins(T):R(5,7)]A",3
"A[Ins(T):R(5,7)]C",0
"A[Ins(T):R(5,7)]G",1
"C[Ins(T):R(5,7)]A",1
"C[Ins(T):R(5,7)]C",0
"C[Ins(T):R(5,7)]G",0
"G[Ins(T):R(5,7)]A",1
"G[Ins(T):R(5,7)]C",0
"G[Ins(T):R(5,7)]G",1
"A[Ins(T):R(8,)]A",1
"A[Ins(T):R(8,)]C",0
"A[Ins(T):R(8,)]G",0
"C[Ins(T):R(8,)]A",0
"C[Ins(T):R(8,)]C",0
"C[Ins(T):R(8,)]G",0
"G[Ins(T):R(8,)]A",0
"G[Ins(T):R(8,)]C",0
"G[Ins(T):R(8,)]G",1
"Del(2,4):R1",5
"Del(5,):R1",2
"Del(2,8):U(1,2):R(2,4)",9
"Del(2,):U(1,2):R(5,)",10
"Del(3,):U(3,):R2",5
"Del(3,):U(3,):R(3,)",1
"Ins(2,4):R0",68
"Ins(5,):R0",26
"Ins(2,4):R1",8
"Ins(5,):R1",2
"Ins(2,):R(2,4)",5
"Ins(2,):R(5,)",1
"Del(2,5):M1",5
"Del(3,5):M2",2
"Del(4,5):M(3,4)",1
"Del(6,):M1",2
"Del(6,):M2",3
"Del(6,):M3",2
"Del(6,):M(4,)",0
"Complex",0
